candidate_name	family	module_variant	region_mode	top_window_k	beta_region	beta_repeat	beta_hairpin	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue
baseline_score	baseline			3				50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
baseline_score	baseline			3				100	55382	283	8	0.08	0.028268551236749116	0.5109963526055397	15.655689045936397	5.217754481474298e-08
baseline_score	baseline			3				200	55382	283	16	0.08	0.05653710247349823	1.0219927052110793	15.655689045936397	1.029793422698481e-14
baseline_score	baseline			3				500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
baseline_score	baseline			3				1000	55382	283	48	0.048	0.1696113074204947	5.109963526055397	9.393413427561837	7.037724790867853e-32
region_context_score_explicit__k_3	region_raw		explicit	3				50	55382	283	1	0.02	0.0035335689045936395	0.25549817630276983	3.913922261484099	0.22606460519294055
region_context_score_explicit__k_3	region_raw		explicit	3				100	55382	283	2	0.02	0.007067137809187279	0.5109963526055397	3.913922261484099	0.09303431418815125
region_context_score_explicit__k_3	region_raw		explicit	3				200	55382	283	2	0.01	0.007067137809187279	1.0219927052110793	1.9569611307420496	0.27236197757405844
region_context_score_explicit__k_3	region_raw		explicit	3				500	55382	283	7	0.014	0.024734982332155476	2.5549817630276985	2.7397455830388693	0.015052685642688792
region_context_score_explicit__k_3	region_raw		explicit	3				1000	55382	283	16	0.016	0.05653710247349823	5.109963526055397	3.1311378091872792	6.805108106609492e-05
region_context_score_inferred__k_3	region_raw		inferred	3				50	55382	283	1	0.02	0.0035335689045936395	0.25549817630276983	3.913922261484099	0.22606460519294055
region_context_score_inferred__k_3	region_raw		inferred	3				100	55382	283	1	0.01	0.0035335689045936395	0.5109963526055397	1.9569611307420496	0.4011631126092233
region_context_score_inferred__k_3	region_raw		inferred	3				200	55382	283	2	0.01	0.007067137809187279	1.0219927052110793	1.9569611307420496	0.27236197757405844
region_context_score_inferred__k_3	region_raw		inferred	3				500	55382	283	4	0.008	0.014134275618374558	2.5549817630276985	1.5655689045936396	0.25354752190969065
region_context_score_inferred__k_3	region_raw		inferred	3				1000	55382	283	11	0.011	0.038869257950530034	5.109963526055397	2.1526572438162543	0.01467223231394947
self_complementarity_context_score__k_3	self_complementarity_raw	self_complementarity		3				50	55382	283	0	0.0	0.0	0.25549817630276983	0.0	1.0
self_complementarity_context_score__k_3	self_complementarity_raw	self_complementarity		3				100	55382	283	1	0.01	0.0035335689045936395	0.5109963526055397	1.9569611307420496	0.4011631126092233
self_complementarity_context_score__k_3	self_complementarity_raw	self_complementarity		3				200	55382	283	4	0.02	0.014134275618374558	1.0219927052110793	3.913922261484099	0.01981586278725628
self_complementarity_context_score__k_3	self_complementarity_raw	self_complementarity		3				500	55382	283	11	0.022	0.038869257950530034	2.5549817630276985	4.305314487632509	6.207280538994068e-05
self_complementarity_context_score__k_3	self_complementarity_raw	self_complementarity		3				1000	55382	283	17	0.017	0.06007067137809187	5.109963526055397	3.3268339222614842	1.9009548146041873e-05
inverted_repeat_context_score__k_3	self_complementarity_raw	inverted_repeat		3				50	55382	283	1	0.02	0.0035335689045936395	0.25549817630276983	3.913922261484099	0.22606460519294055
inverted_repeat_context_score__k_3	self_complementarity_raw	inverted_repeat		3				100	55382	283	3	0.03	0.01060070671378092	0.5109963526055397	5.8708833922261485	0.014832646997377635
inverted_repeat_context_score__k_3	self_complementarity_raw	inverted_repeat		3				200	55382	283	4	0.02	0.014134275618374558	1.0219927052110793	3.913922261484099	0.01981586278725628
inverted_repeat_context_score__k_3	self_complementarity_raw	inverted_repeat		3				500	55382	283	9	0.018	0.03180212014134275	2.5549817630276985	3.522530035335689	0.0011916038303980744
inverted_repeat_context_score__k_3	self_complementarity_raw	inverted_repeat		3				1000	55382	283	21	0.021	0.07420494699646643	5.109963526055397	4.109618374558304	6.557776019294922e-08
paired_architecture_context_score__k_3	paired_architecture_raw	paired_architecture		3				50	55382	283	5	0.1	0.0176678445229682	0.25549817630276983	19.569611307420498	5.903141865067836e-06
paired_architecture_context_score__k_3	paired_architecture_raw	paired_architecture		3				100	55382	283	11	0.11	0.038869257950530034	0.5109963526055397	21.526572438162546	4.83495224558111e-12
paired_architecture_context_score__k_3	paired_architecture_raw	paired_architecture		3				200	55382	283	19	0.095	0.06713780918727916	1.0219927052110793	18.591130742049472	1.221821646646992e-18
paired_architecture_context_score__k_3	paired_architecture_raw	paired_architecture		3				500	55382	283	25	0.05	0.08833922261484099	2.5549817630276985	9.784805653710247	2.129910080438322e-17
paired_architecture_context_score__k_3	paired_architecture_raw	paired_architecture		3				1000	55382	283	29	0.029	0.10247349823321555	5.109963526055397	5.6751872791519435	7.797131919939728e-14
rbp_trace_v2_score_region__explicit__k_3__beta_0.0	region		explicit	3	0.0			50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_region__explicit__k_3__beta_0.0	region		explicit	3	0.0			100	55382	283	8	0.08	0.028268551236749116	0.5109963526055397	15.655689045936397	5.217754481474298e-08
