gene_id	transcript_id	baseline_score	baseline_rank	n_windows	top_window_k	best_window_region_type	best_window_inferred_region_type	topk_CDS_fraction	topk_UTR_fraction	topk_ncRNA_fraction	topk_unknown_fraction	topk_inferred_CDS_fraction	topk_inferred_UTR_fraction	topk_inferred_ncRNA_fraction	topk_inferred_unknown_fraction	topk_self_complementarity_score_mean	topk_inverted_repeat_score_mean	topk_simple_repeat_score_mean	topk_simple_repeat_penalty_score_mean	topk_reverse_complement_4mer_density_mean	topk_reverse_complement_5mer_density_mean	topk_reverse_complement_6mer_density_mean	topk_paired_architecture_score_mean	topk_stem_like_score_mean	topk_paired_run_density_mean	topk_max_local_paired_mean_31nt_mean	topk_max_local_paired_mean_41nt_mean	topk_max_local_paired_mean_81nt_mean	topk_longest_high_paired_run_mean	max_paired_architecture_score	fraction_high_paired_architecture_windows
LOC_Os06g48030	LOC_Os06g48030.3	0.9984102333333332	1	91	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5280336303360234	0.5649954476466441	0.1258644397716098	0.1258644397716098	0.6720812182741117	0.41224489795918373	0.24153846153846156	0.3745413249021512	0.38285861925574816	0.3365	0.6471377957251764	0.6220758577672447	0.5720177544487848	7.6	0.4692838687893494	0.0
LOC_Os12g37480	LOC_Os12g37480.1	0.99835217	2	19	10	unknown	3UTR	0.6	0.0	0.0	0.4	0.4	0.6	0.0	0.0	0.6228260698800946	0.6827335477605601	0.07487456185833516	0.07487456185833516	0.7030456852791879	0.49234693877551006	0.35692307692307695	0.5823556408619661	0.6528682261191733	0.6014999999999999	0.8705704142970424	0.8471046783575199	0.7687656646893347	20.6	0.7562888567154982	0.3
LOC_Os12g08550	LOC_Os12g08550.1	0.9978808466666664	3	96	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5731954307461922	0.619623356398737	0.07546184092237937	0.07546184092237937	0.7411167512690355	0.4607142857142857	0.2661538461538462	0.47070043207370205	0.5022071714575698	0.45949999999999996	0.7706273417319021	0.7396215143727094	0.6808231728312409	12.3	0.5615668343743023	0.0
LOC_Os04g25490	LOC_Os04g25490.1	0.9977169866666667	4	35	10	unknown	3UTR	0.4	0.0	0.0	0.6	0.2	0.8	0.0	0.0	0.5453081940844813	0.5498164902046339	0.053434980170529736	0.053434980170529736	0.6766497461928933	0.3948979591836735	0.20564102564102563	0.4813906763529955	0.5222352061194133	0.517	0.7875144789295813	0.74220561835824	0.6809946071954421	12.3	0.5602736626864437	0.0
LOC_Os03g22670	LOC_Os03g22670.1	0.99770768	5	85	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5650257763201926	0.6506710078182161	0.085235199952785	0.085235199952785	0.698477157360406	0.48571428571428577	0.29794871794871797	0.39242868300170664	0.4096590809589479	0.36350000000000005	0.6712651302737573	0.6454772428768438	0.56304818848033	8.8	0.4597538153862777	0.0
LOC_Os03g55230	LOC_Os03g55230.1	0.99759231	6	30	10	unknown	3UTR	0.1	0.0	0.0	0.9	0.0	1.0	0.0	0.0	0.5255013650862093	0.5792122210046431	0.062439777525198345	0.062439777525198345	0.7101522842639595	0.411734693877551	0.24410256410256412	0.44091363562632696	0.46898063513903104	0.42699999999999994	0.7453638845874417	0.6924419054170934	0.6263731730572971	11.5	0.5700254837154937	0.0
LOC_Os03g44835	LOC_Os03g44835.1	0.9971847533333332	7	106	10	unknown	5UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5107856756061978	0.5497774531877142	0.0833953634873585	0.0833953634873585	0.6939086294416243	0.4209183673469388	0.21230769230769225	0.4264308153197772	0.4468739182445091	0.39949999999999997	0.7287267306158621	0.6961217547335276	0.6222573147143847	9.8	0.4921128049169304	0.0
LOC_Os12g01355	LOC_Os12g01355.1	0.9971580133333332	8	61	10	unknown	3UTR	0.3	0.0	0.0	0.7	0.2	0.8	0.0	0.0	0.5604410805190356	0.5960581470971246	0.07780040567681108	0.07780040567681108	0.7238578680203045	0.45765306122448984	0.24769230769230766	0.4389265278596207	0.463485231725181	0.4069999999999999	0.7311272684604891	0.7084556951755431	0.6384815340424762	11.0	0.5423364318354684	0.0
LOC_Os07g36080	LOC_Os07g36080.2	0.9971264966666666	9	55	10	unknown	3UTR	0.2	0.0	0.0	0.8	0.0	1.0	0.0	0.0	0.4965429183975232	0.5192415446688471	0.06411486403560804	0.06411486403560804	0.6629441624365482	0.3826530612244898	0.20615384615384613	0.4123530372265556	0.4326682773295457	0.378	0.6959901498210045	0.6775048319886371	0.6117029441727533	9.7	0.4941497140127627	0.0
LOC_Os02g16995	LOC_Os02g16995.1	0.9966472566666668	10	21	10	unknown	3UTR	0.5	0.0	0.0	0.5	0.3	0.7	0.0	0.0	0.5932169906879842	0.6384888372243339	0.06225343449913488	0.06225343449913488	0.7050761421319796	0.4704081632653061	0.28461538461538466	0.5454626281586377	0.5883813671522993	0.5395000000000001	0.850515462890748	0.8256441014568981	0.7589158218583942	16.0	0.612180029141021	0.1
LOC_Os01g48550	LOC_Os01g48550.1	0.99656629	11	27	10	unknown	3UTR	0.1	0.0	0.0	0.9	0.0	1.0	0.0	0.0	0.542882885993836	0.5503260583815334	0.06897712832969476	0.06897712832969476	0.7055837563451777	0.4219387755102041	0.198974358974359	0.46151553653640887	0.49573187493696447	0.48	0.7549590122315192	0.7246956248108934	0.6523098284079705	11.3	0.5559996353428478	0.0
LOC_Os07g30690	LOC_Os07g30690.1	0.99647279	12	99	10	unknown	3UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.5875909396395256	0.6418980339223269	0.07630415289850871	0.07630415289850871	0.7664974619289341	0.5015306122448979	0.2846153846153846	0.4667362708951453	0.508120361820469	0.4615	0.7623203466015477	0.7278610854614073	0.6450281702441933	13.4	0.6755638258211808	0.1
LOC_Os12g16350	LOC_Os12g16350.13	0.99616126	13	560	10	unknown	3UTR	0.1	0.0	0.0	0.9	0.0	1.0	0.0	0.0	0.591207965709416	0.6378903076410328	0.06455203464059786	0.06455203464059786	0.749746192893401	0.5061224489795918	0.2753846153846154	0.5041429002344993	0.549472590328232	0.5215	0.8039833278425277	0.7719177709846962	0.695801724548693	14.2	0.5865016370945714	0.0
LOC_Os10g13694	LOC_Os10g13694.2	0.9960943466666666	14	108	10	unknown	5UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.6062407961157055	0.6448554407928955	0.07764433198480956	0.07764433198480956	0.7593908629441624	0.5005102040816327	0.3030769230769231	0.4347588662635723	0.4606891883912125	0.42300000000000004	0.7069184334047379	0.7040675651736377	0.6520131617416569	10.2	0.5232773986042114	0.0
LOC_Os03g40725	LOC_Os03g40725.1	0.9960501333333336	15	100	10	unknown	5UTR	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.4351689252704481	0.47628959084035233	0.10406796978496938	0.10406796978496938	0.582233502538071	0.29999999999999993	0.13589743589743591	0.37189953870164294	0.3778810528235707	0.3175	0.6658959404114755	0.6211431584707121	0.5523080031077067	7.8	0.483579865340706	0.0
LOC_Os02g10300	LOC_Os02g10300.1	0.99602459	16	36	10	unknown	3UTR	0.1	0.0	0.0	0.9	0.0	1.0	0.0	0.0	0.4512748011660267	0.5001459475915604	0.08057590602124139	0.08057590602124139	0.5690355329949239	0.35153061224489796	0.20205128205128203	0.42537972197493923	0.4490151107989675	0.3849999999999999	0.7101592548431889	0.6695453323969026	0.6044893784287535	11.7	0.5144992105775926	0.0
