section	metric	group	value
summary	n_transcripts_in_gtf	all	66338.0
summary	n_window_transcripts	all	65343.0
summary	n_matched_transcripts	all	65343.0
summary	match_rate	all	1.0
region_counts	original	CDS	733502.0
region_counts	original	unknown	145026.0
region_counts	inferred	CDS	679919.0
region_counts	inferred	3UTR	160149.0
region_counts	inferred	5UTR	38460.0
distribution	top3_CDS_fraction	mean	0.7571352906479842
distribution	top3_CDS_fraction	median	1.0
distribution	top3_CDS_fraction	nonzero_count	46844.0
distribution	top3_UTR_fraction	mean	0.0
distribution	top3_UTR_fraction	median	0.0
distribution	top3_UTR_fraction	nonzero_count	0.0
distribution	top3_ncRNA_fraction	mean	0.0
distribution	top3_ncRNA_fraction	median	0.0
distribution	top3_ncRNA_fraction	nonzero_count	0.0
distribution	top3_inferred_CDS_fraction	mean	0.6787855259831714
distribution	top3_inferred_CDS_fraction	median	1.0
distribution	top3_inferred_CDS_fraction	nonzero_count	41149.0
distribution	top3_inferred_UTR_fraction	mean	0.32121447401682857
distribution	top3_inferred_UTR_fraction	median	0.0
distribution	top3_inferred_UTR_fraction	nonzero_count	20846.0
distribution	top3_inferred_ncRNA_fraction	mean	0.0
distribution	top3_inferred_ncRNA_fraction	median	0.0
distribution	top3_inferred_ncRNA_fraction	nonzero_count	0.0
top200_region_distribution	Top200_TP__original	unknown	0.8125
top200_region_distribution	Top200_TP__original	CDS	0.1875
top200_region_distribution	Top200_TP__inferred	3UTR	0.75
top200_region_distribution	Top200_TP__inferred	5UTR	0.1875
top200_region_distribution	Top200_TP__inferred	CDS	0.0625
top200_region_distribution	Top200_FP__original	unknown	0.9347826086956522
top200_region_distribution	Top200_FP__original	CDS	0.06521739130434782
top200_region_distribution	Top200_FP__inferred	3UTR	0.7391304347826086
top200_region_distribution	Top200_FP__inferred	5UTR	0.22826086956521738
top200_region_distribution	Top200_FP__inferred	CDS	0.03260869565217391
top200_region_distribution	truth_outside_Top200__original	unknown	0.6292134831460674
top200_region_distribution	truth_outside_Top200__original	CDS	0.3707865168539326
top200_region_distribution	truth_outside_Top200__inferred	3UTR	0.6554307116104869
top200_region_distribution	truth_outside_Top200__inferred	CDS	0.24719101123595505
top200_region_distribution	truth_outside_Top200__inferred	5UTR	0.09737827715355805
