gene_id	has_target_table
AT1G01100	True
AT1G01170	True
AT1G01620	True
AT1G02560	True
AT1G02780	True
AT1G02820	True
AT1G02930	True
AT1G03130	True
AT1G03600	True
AT1G03680	True
AT1G04263	True
AT1G04410	True
AT1G04527	True
AT1G04733	True
AT1G04897	True
AT1G05057	True
AT1G05163	True
AT1G05247	True
AT1G05273	True
AT1G05423	True
AT1G05850	True
AT1G05853	True
AT1G05913	True
AT1G05917	True
AT1G06040	True
AT1G06237	True
AT1G06243	True
AT1G06553	True
AT1G06680	True
AT1G07590	True
AT1G07600	True
AT1G07890	True
AT1G07897	True
AT1G08115	True
AT1G08347	True
AT1G08380	True
AT1G09070	True
AT1G09087	True
AT1G09310	True
AT1G09333	True
AT1G09340	True
AT1G09690	True
AT1G09787	True
AT1G09797	True
AT1G09800	True
AT1G09867	True
AT1G09877	True
AT1G09883	True
AT1G10522	True
AT1G10960	True
AT1G11860	True
AT1G12013	True
AT1G12015	True
AT1G12090	True
AT1G12900	True
AT1G13245	True
AT1G13440	True
AT1G14320	True
AT1G15405	True
AT1G15820	True
AT1G16635	True
AT1G16880	True
AT1G18080	True
AT1G18745	True
AT1G19150	True
AT1G20015	True
AT1G20020	True
AT1G20340	True
AT1G21065	True
AT1G22410	True
AT1G23130	True
AT1G23290	True
AT1G23310	True
AT1G25275	True
AT1G26233	True
AT1G26630	True
AT1G27290	True
AT1G27950	True
AT1G29070	True
AT1G29660	True
AT1G29670	True
AT1G29910	True
AT1G29920	True
AT1G29930	True
AT1G30380	True
AT1G31330	True
AT1G31580	True
AT1G31812	True
AT1G32060	True
AT1G32080	True
AT1G32220	True
AT1G32470	True
AT1G32920	True
AT1G34000	True
AT1G34418	True
AT1G35140	True
AT1G35680	True
AT1G37130	True
AT1G42970	True
AT1G43170	True
AT1G44575	True
AT1G45201	True
AT1G47128	True
AT1G48350	True
AT1G49500	True
AT1G50320	True
AT1G50900	True
AT1G51400	True
AT1G52220	True
AT1G52230	True
AT1G52400	True
AT1G53210	True
AT1G54780	True
AT1G55330	True
AT1G55670	True
AT1G56045	True
AT1G56070	True
AT1G56580	True
AT1G57990	True
AT1G58290	True
AT1G59870	True
AT1G60950	True
AT1G61275	True
AT1G61520	True
AT1G62380	True
AT1G64680	True
AT1G64720	True
AT1G65490	True
AT1G65820	True
AT1G65960	True
AT1G66100	True
AT1G67090	True
AT1G67740	True
AT1G68010	True
AT1G68440	True
AT1G68520	True
AT1G68530	True
AT1G69620	True
AT1G70185	True
AT1G70760	True
AT1G70780	True
AT1G72430	True
AT1G72610	True
AT1G72645	True
AT1G72930	True
AT1G73885	True
AT1G74470	True
AT1G75350	True
AT1G76080	True
AT1G76100	True
AT1G76160	True
AT1G76960	True
AT1G78040	True
AT1G78630	True
AT1G78830	True
AT1G78850	True
AT1G79040	True
AT1G79850	True
AT1G80440	True
AT1G80920	True
AT2G01250	True
AT2G01850	True
AT2G04955	True
AT2G05070	True
AT2G05100	True
AT2G05380	True
AT2G05520	True
AT2G06520	True
AT2G08390	True
AT2G08765	True
AT2G08770	True
AT2G08900	True
AT2G09465	True
AT2G09685	True
AT2G09695	True
AT2G09700	True
AT2G09705	True
AT2G10940	True
AT2G13360	True
AT2G15620	True
AT2G16280	True
AT2G18020	True
AT2G18960	True
AT2G20260	True
AT2G20410	True
AT2G21330	True
AT2G22990	True
AT2G23090	True
AT2G23120	True
AT2G23130	True
AT2G23320	True
AT2G23810	True
AT2G24940	True
AT2G25080	True
AT2G25210	True
AT2G25450	True
AT2G25510	True
AT2G26080	True
AT2G26500	True
AT2G27530	True
AT2G30490	True
AT2G30520	True
AT2G30570	True
AT2G30950	True
AT2G31610	True
AT2G32690	True
AT2G33450	True
AT2G34420	True
AT2G34430	True
AT2G34480	True
AT2G35370	True
AT2G35382	True
AT2G35387	True
AT2G35750	True
AT2G37040	True
AT2G37220	True
AT2G38140	True
AT2G38230	True
AT2G38540	True
AT2G39010	True
AT2G39730	True
AT2G40000	True
AT2G40650	True
AT2G41090	True
AT2G41100	True
AT2G41310	True
AT2G41430	True
AT2G43030	True
AT2G43375	True
AT2G45070	True
AT2G45180	True
AT2G45960	True
AT2G46192	True
AT2G46600	True
AT2G46820	True
AT2G47170	True
AT2G47400	True
AT2G47450	True
AT2G47730	True
AT3G01130	True
AT3G01145	True
AT3G01290	True
AT3G01500	True
AT3G02080	True
AT3G02470	True
AT3G02725	True
AT3G02730	True
AT3G02832	True
AT3G03425	True
AT3G03435	True
AT3G04155	True
AT3G04175	True
AT3G04400	True
AT3G04720	True
AT3G04775	True
AT3G04975	True
AT3G04985	True
AT3G05325	True
AT3G05560	True
AT3G05655	True
AT3G06070	True
AT3G06125	True
AT3G06355	True
AT3G06700	True
AT3G06900	True
AT3G07215	True
AT3G07715	True
AT3G08030	True
AT3G08165	True
AT3G08275	True
AT3G08580	True
AT3G08940	True
AT3G09105	True
AT3G09225	True
AT3G09390	True
AT3G09500	True
AT3G09855	True
AT3G09865	True
AT3G11120	True
AT3G11630	True
AT3G12587	True
AT3G12780	True
AT3G13750	True
AT3G14415	True
AT3G14420	True
AT3G15353	True
AT3G15360	True
AT3G16140	True
AT3G16240	True
AT3G16370	True
AT3G16420	True
AT3G16530	True
AT3G16640	True
AT3G17390	True
AT3G18740	True
AT3G19030	True
AT3G19170	True
AT3G20760	True
AT3G21055	True
AT3G21805	True
AT3G22231	True
AT3G22890	True
AT3G24615	True
AT3G25920	True
AT3G26060	True
AT3G26520	True
AT3G26650	True
AT3G27690	True
AT3G27830	True
AT3G27850	True
AT3G27865	True
AT3G30390	True
AT3G41761	True
AT3G44010	True
AT3G44310	True
AT3G46780	True
AT3G47070	True
AT3G47347	True
AT3G47348	True
AT3G47470	True
AT3G47650	True
AT3G48140	True
AT3G48360	True
AT3G48690	True
AT3G50820	True
AT3G51600	True
AT3G51730	True
AT3G51920	True
AT3G52150	True
AT3G52230	True
AT3G52590	True
AT3G53420	True
AT3G53740	True
AT3G53870	True
AT3G54050	True
AT3G54210	True
AT3G54890	True
AT3G55440	True
AT3G55800	True
AT3G55850	True
AT3G56290	True
AT3G56360	True
AT3G56705	True
AT3G56940	True
AT3G57450	True
AT3G57645	True
AT3G58193	True
AT3G58196	True
AT3G60245	True
AT3G60750	True
AT3G61110	True
AT3G61440	True
AT3G61470	True
AT3G62030	True
AT3G62250	True
AT3G62290	True
AT3G62410	True
AT3G62530	True
AT3G63140	True
AT3G63160	True
AT4G00100	True
AT4G00975	True
AT4G01150	True
AT4G01950	True
AT4G02380	True
AT4G02520	True
AT4G02770	True
AT4G03280	True
AT4G03295	True
AT4G03520	True
AT4G03905	True
AT4G03915	True
AT4G04640	True
AT4G04840	True
AT4G05050	True
AT4G05070	True
AT4G05180	True
AT4G05320	True
AT4G06375	True
AT4G06810	True
AT4G07120	True
AT4G07635	True
AT4G08755	True
AT4G08870	True
AT4G08950	True
AT4G09135	True
AT4G09650	True
AT4G10340	True
AT4G11150	True
AT4G12800	True
AT4G13340	True
AT4G14320	True
AT4G15545	True
AT4G15760	True
AT4G16190	True
AT4G16980	True
AT4G17090	True
AT4G17390	True
AT4G18480	True
AT4G19200	True
AT4G20360	True
AT4G21105	True
AT4G21280	True
AT4G21960	True
AT4G22690	True
AT4G22890	True
AT4G23420	True
AT4G23670	True
AT4G25050	True
AT4G25100	True
AT4G25130	True
AT4G27090	True
AT4G27520	True
AT4G28220	True
AT4G28660	True
AT4G28750	True
AT4G29350	True
AT4G29905	True
AT4G30440	True
AT4G32260	True
AT4G33010	True
AT4G33666	True
AT4G33865	True
AT4G34110	True
AT4G34150	True
AT4G34190	True
AT4G34350	True
AT4G34620	True
AT4G34720	True
AT4G34870	True
AT4G35090	True
AT4G35100	True
AT4G37800	True
AT4G37830	True
AT4G37930	True
AT4G38770	True
AT4G38970	True
AT4G39200	True
AT4G39361	True
AT4G39363	True
AT4G39364	True
AT4G39366	True
AT4G39730	True
AT5G00755	True
AT5G01530	True
AT5G01600	True
AT5G02120	True
AT5G02255	True
AT5G02380	True
AT5G02500	True
AT5G02645	True
AT5G02655	True
AT5G02665	True
AT5G02790	True
AT5G02960	True
AT5G04105	True
AT5G04140	True
AT5G04315	True
AT5G04325	True
AT5G04455	True
AT5G05270	True
AT5G06115	True
AT5G06305	True
AT5G06320	True
AT5G06845	True
AT5G07095	True
AT5G07325	True
AT5G07725	True
AT5G07735	True
AT5G07745	True
AT5G09065	True
AT5G09125	True
AT5G09495	True
AT5G09585	True
AT5G09650	True
AT5G09660	True
AT5G10860	True
AT5G11740	True
AT5G13630	True
AT5G13930	True
AT5G14120	True
AT5G14740	True
AT5G15200	True
AT5G15350	True
AT5G15960	True
AT5G17870	True
AT5G17920	True
AT5G18380	True
AT5G19140	True
AT5G19190	True
AT5G19250	True
AT5G19510	True
AT5G19590	True
AT5G19940	True
AT5G20270	True
AT5G23060	True
AT5G24165	True
AT5G25610	True
AT5G26000	True
AT5G28840	True
AT5G35630	True
AT5G37770	True
AT5G38410	True
AT5G38420	True
AT5G38430	True
AT5G40395	True
AT5G40950	True
AT5G41010	True
AT5G41471	True
AT5G41700	True
AT5G42270	True
AT5G42530	True
AT5G42980	True
AT5G43760	True
AT5G44020	True
AT5G44580	True
AT5G46110	True
AT5G46315	True
AT5G46430	True
AT5G48300	True
AT5G50920	True
AT5G52650	True
AT5G53300	True
AT5G54270	True
AT5G54770	True
AT5G54940	True
AT5G56670	True
AT5G57040	True
AT5G57560	True
AT5G59880	True
AT5G60360	True
AT5G60390	True
AT5G61310	True
AT5G61410	True
AT5G61455	True
AT5G61590	True
AT5G63160	True
AT5G63310	True
AT5G64040	True
AT5G64260	True
AT5G64400	True
AT5G65220	True
AT5G65730	True
AT5G65860	True
AT5G66040	True
AT5G66190	True
AT5G66400	True
AT5G66570	True
AT5G67030	True
AT5G67300	True
AT5G67420	True
