gene_id	tribe_site_count	in_model_universe
LOC_Os01g01070	6	True
LOC_Os01g04440	4	True
LOC_Os01g04860	1	True
LOC_Os01g05510	1	True
LOC_Os01g08090	5	True
LOC_Os01g08830	2	True
LOC_Os01g09370	9	True
LOC_Os01g13060	1	True
LOC_Os01g13320	1	True
LOC_Os01g15970	2	True
LOC_Os01g20204	2	True
LOC_Os01g28540	1	True
LOC_Os01g29820	1	True
LOC_Os01g36240	2	True
LOC_Os01g37560	4	True
LOC_Os01g39260	1	True
LOC_Os01g39800	4	True
LOC_Os01g43120	1	True
LOC_Os01g45880	6	True
LOC_Os01g46169	2	True
LOC_Os01g48010	2	True
LOC_Os01g48920	16	True
LOC_Os01g49219	6	True
LOC_Os01g51420	4	True
LOC_Os01g51800	1	True
LOC_Os01g55780	1	True
LOC_Os01g56370	2	True
LOC_Os01g56510	1	True
LOC_Os01g58640	1	True
LOC_Os01g60120	1	True
LOC_Os01g60230	15	True
LOC_Os01g61460	1	True
LOC_Os01g63770	1	True
LOC_Os01g64170	1	True
LOC_Os01g64262	1	True
LOC_Os01g65800	1	True
LOC_Os01g68020	3	True
LOC_Os01g68324	14	True
LOC_Os01g69050	6	True
LOC_Os01g69070	1	True
LOC_Os01g71624	2	True
LOC_Os01g71720	5	True
LOC_Os01g72370	8	True
LOC_Os01g73250	1	True
LOC_Os02g02424	2	True
LOC_Os02g04450	4	True
LOC_Os02g07010	3	True
LOC_Os02g07340	3	True
LOC_Os02g11070	1	True
LOC_Os02g13160	1	True
LOC_Os02g15260	5	True
LOC_Os02g15360	1	True
LOC_Os02g15640	3	True
LOC_Os02g16490	5	True
LOC_Os02g16600	1	True
LOC_Os02g18820	3	True
LOC_Os02g20940	5	True
LOC_Os02g20950	5	True
LOC_Os02g22100	2	True
LOC_Os02g26294	2	True
LOC_Os02g26984	3	True
LOC_Os02g34470	2	True
LOC_Os02g34950	1	True
LOC_Os02g39850	2	True
LOC_Os02g48560	1	True
LOC_Os02g51460	2	True
LOC_Os02g53180	1	True
LOC_Os02g53700	4	True
LOC_Os02g56200	1	True
LOC_Os02g56360	1	True
LOC_Os02g57650	4	True
LOC_Os02g57924	1	True
LOC_Os03g06400	2	True
LOC_Os03g12050	1	True
LOC_Os03g12620	4	True
LOC_Os03g12660	5	True
LOC_Os03g13274	2	True
LOC_Os03g13590	1	True
LOC_Os03g14380	3	True
LOC_Os03g15040	1	True
LOC_Os03g15600	3	True
LOC_Os03g16110	7	True
LOC_Os03g18030	1	True
LOC_Os03g20420	6	True
LOC_Os03g22050	1	True
LOC_Os03g22670	1	True
LOC_Os03g29260	2	True
LOC_Os03g29680	2	True
LOC_Os03g32330	1	True
LOC_Os03g36790	17	True
LOC_Os03g39860	2	True
LOC_Os03g40194	1	True
LOC_Os03g40210	1	True
LOC_Os03g44200	1	True
LOC_Os03g49150	18	True
LOC_Os03g50070	3	True
LOC_Os03g50620	5	True
LOC_Os03g51080	1	True
LOC_Os03g52239	1	True
LOC_Os03g58970	1	True
LOC_Os03g59225	2	True
LOC_Os03g60870	4	True
LOC_Os03g61360	1	True
LOC_Os03g63270	2	True
LOC_Os03g63950	1	True
LOC_Os03g64140	3	True
LOC_Os04g01600	1	True
LOC_Os04g02620	5	True
LOC_Os04g09350	1	True
LOC_Os04g09604	9	True
LOC_Os04g10380	4	True
LOC_Os04g10420	30	True
LOC_Os04g17700	2	True
LOC_Os04g20210	20	True
LOC_Os04g20990	1	True
LOC_Os04g31120	29	True
LOC_Os04g32830	1	True
LOC_Os04g35620	1	True
LOC_Os04g35920	2	True
LOC_Os04g37470	1	True
LOC_Os04g38450	2	True
LOC_Os04g45834	1	True
LOC_Os04g47690	3	True
LOC_Os04g48070	1	True
LOC_Os04g48820	1	True
LOC_Os04g51580	1	True
LOC_Os04g52590	1	True
LOC_Os04g52640	13	True
LOC_Os04g53680	2	True
LOC_Os04g54759	3	True
LOC_Os04g57190	1	True
LOC_Os04g58734	1	True
LOC_Os05g02150	1	True
LOC_Os05g02770	3	True
LOC_Os05g03574	2	True
LOC_Os05g12380	2	True
LOC_Os05g14010	1	True
LOC_Os05g14220	2	True
LOC_Os05g24550	1	True
LOC_Os05g28630	1	True
LOC_Os05g30870	1	True
LOC_Os05g31230	30	True
LOC_Os05g33010	2	True
LOC_Os05g34550	6	True
LOC_Os05g36930	2	True
LOC_Os05g39240	7	True
LOC_Os05g39540	5	True
LOC_Os05g40010	2	True
LOC_Os05g42070	45	True
LOC_Os05g42080	45	True
LOC_Os05g43650	1	True
LOC_Os05g50090	8	True
LOC_Os05g51510	1	True
LOC_Os06g01950	1	True
LOC_Os06g11500	12	True
LOC_Os06g12790	2	True
LOC_Os06g16330	4	True
LOC_Os06g20340	4	True
LOC_Os06g23274	3	True
LOC_Os06g24070	1	True
LOC_Os06g31100	1	True
LOC_Os06g37070	2	True
LOC_Os06g37610	3	True
LOC_Os06g40120	3	True
LOC_Os06g43930	1	True
LOC_Os06g43950	3	True
LOC_Os06g44030	5	True
LOC_Os06g44200	2	True
LOC_Os06g45090	2	True
LOC_Os06g46149	5	True
LOC_Os06g47000	3	True
LOC_Os06g50890	14	True
LOC_Os06g51380	1	True
LOC_Os07g01214	1	True
LOC_Os07g01904	1	True
LOC_Os07g02250	5	True
LOC_Os07g04160	3	True
LOC_Os07g06680	6	True
LOC_Os07g08210	3	True
LOC_Os07g10495	1	True
LOC_Os07g10500	1	True
LOC_Os07g22350	8	True
LOC_Os07g24190	1	True
LOC_Os07g26440	8	True
LOC_Os07g27140	1	True
LOC_Os07g28260	1	True
LOC_Os07g31440	2	True
LOC_Os07g33550	1	True
LOC_Os07g37890	8	True
LOC_Os07g40240	1	True
LOC_Os07g40710	3	True
LOC_Os07g41810	1	True
LOC_Os07g42895	1	True
LOC_Os07g48850	1	True
LOC_Os08g01110	2	True
LOC_Os08g04500	1	True
LOC_Os08g04920	1	True
LOC_Os08g05620	2	True
LOC_Os08g19114	2	True
LOC_Os08g21590	7	True
LOC_Os08g26230	1	True
LOC_Os08g30020	9	True
LOC_Os08g31940	2	True
LOC_Os08g32130	8	True
LOC_Os08g36840	3	True
LOC_Os08g37250	2	True
LOC_Os08g39440	3	True
LOC_Os08g42480	10	False
LOC_Os08g44850	3	True
LOC_Os09g02410	15	True
LOC_Os09g06230	3	True
LOC_Os09g06464	1	True
LOC_Os09g06970	4	True
LOC_Os09g07154	2	True
LOC_Os09g14680	3	True
LOC_Os09g19280	3	True
LOC_Os09g19310	3	True
LOC_Os09g20090	2	True
LOC_Os09g21689	2	True
LOC_Os09g25460	5	True
LOC_Os09g26190	2	True
LOC_Os09g27030	1	True
LOC_Os09g28910	10	True
LOC_Os09g29200	1	True
LOC_Os09g29239	2	True
LOC_Os09g31478	3	True
LOC_Os09g31514	6	True
LOC_Os09g36370	1	True
LOC_Os09g36750	3	True
LOC_Os09g39740	1	True
LOC_Os09g39910	4	True
LOC_Os10g02480	1	True
LOC_Os10g04860	7	True
LOC_Os10g07340	1	True
LOC_Os10g12500	2	True
LOC_Os10g22570	1	True
LOC_Os10g26720	2	True
LOC_Os10g26850	1	True
LOC_Os10g26859	1	True
LOC_Os10g33700	1	True
LOC_Os10g35810	4	True
LOC_Os10g39140	2	True
LOC_Os10g39520	7	True
LOC_Os10g40740	1	True
LOC_Os10g42780	7	True
LOC_Os11g01600	1	True
LOC_Os11g02840	2	True
LOC_Os11g03940	1	True
LOC_Os11g04020	1	True
LOC_Os11g05480	2	True
LOC_Os11g07980	2	True
LOC_Os11g09979	2	True
LOC_Os11g10320	3	True
LOC_Os11g11060	2	True
LOC_Os11g12000	2	True
LOC_Os11g12340	2	True
LOC_Os11g28300	1	True
LOC_Os11g29370	1	True
LOC_Os11g30620	1	True
LOC_Os11g31770	2	True
LOC_Os11g34230	4	True
LOC_Os11g39650	1	True
LOC_Os11g39670	1	True
LOC_Os11g40249	2	True
LOC_Os11g41034	8	True
LOC_Os11g47970	10	True
LOC_Os12g01680	1	True
LOC_Os12g06870	1	True
LOC_Os12g09290	2	True
LOC_Os12g09550	35	True
LOC_Os12g12470	5	True
LOC_Os12g12664	1	True
LOC_Os12g13170	2	True
LOC_Os12g15222	1	True
LOC_Os12g16260	17	True
LOC_Os12g16280	17	True
LOC_Os12g16290	17	True
LOC_Os12g16350	87	True
LOC_Os12g19304	1	True
LOC_Os12g31860	5	True
LOC_Os12g33150	4	True
LOC_Os12g37260	1	True
LOC_Os12g41430	1	True
LOC_Os12g42160	1	True
