embedding_row	binding_protein_id	motif_cache_index_row	motif_cache_protein_id	motif_cache_embedding_row	protein_id_match	embedding_row_match	train_usage_count	val_usage_count	test_usage_count	used_any_split	issue
0	HNRNPA1|DANRE|Q803K3	0	HNRNPA1|DANRE|Q803K3	0	True	True	16086	1953	1520	True	
1	AUB|DROME|O76922	1	AUB|DROME|O76922	1	True	True	14857	1190	0	True	
2	IMP|DROME|Q0KHU2	2	IMP|DROME|Q0KHU2	2	True	True	11435	0	0	True	
3	ORB2B|DROME|A0A4D6K616	3	ORB2B|DROME|A0A4D6K616	3	True	True	14644	4426	5642	True	
4	PEP|DROME|P41073	4	PEP|DROME|P41073	4	True	True	12144	0	0	True	
5	AARS|HUMAN|P49588	5	AARS|HUMAN|P49588	5	True	True	1951	0	0	True	
6	AATF|HUMAN|Q9NY61	6	AATF|HUMAN|Q9NY61	6	True	True	1902	0	0	True	
7	ABCF1|HUMAN|Q8NE71	7	ABCF1|HUMAN|Q8NE71	7	True	True	0	0	1725	True	
8	ACI|HUMAN|Q9UKV3	8	ACI|HUMAN|Q9UKV3	8	True	True	18078	0	0	True	
9	AGGF1|HUMAN|Q8N302	9	AGGF1|HUMAN|Q8N302	9	True	True	3767	0	0	True	
10	AGO2|HUMAN|Q9UKV8	10	AGO2|HUMAN|Q9UKV8	10	True	True	135549	9165	7593	True	
11	AKAP1|HUMAN|Q92667	11	AKAP1|HUMAN|Q92667	11	True	True	0	3865	0	True	
12	AKAP8L|HUMAN|Q9ULX6	12	AKAP8L|HUMAN|Q9ULX6	12	True	True	0	0	1899	True	
13	ALKBH1|HUMAN|Q13686	13	ALKBH1|HUMAN|Q13686	13	True	True	3645	0	3703	True	
14	ALKBH5|HUMAN|Q6P6C2	14	ALKBH5|HUMAN|Q6P6C2	14	True	True	3351	0	0	True	
15	ALYREF|HUMAN|Q86V81	15	ALYREF|HUMAN|Q86V81	15	True	True	22558	7535	4535	True	
16	APOBEC3C|HUMAN|Q9NRW3	16	APOBEC3C|HUMAN|Q9NRW3	16	True	True	1949	0	0	True	
17	AQR|HUMAN|O60306	17	AQR|HUMAN|O60306	17	True	True	3877	0	0	True	
18	ATXN2|HUMAN|Q99700	18	ATXN2|HUMAN|Q99700	18	True	True	13992	0	0	True	
19	BCCIP|HUMAN|Q9P287	19	BCCIP|HUMAN|Q9P287	19	True	True	1923	0	0	True	
20	BCLAF1|HUMAN|Q9NYF8	20	BCLAF1|HUMAN|Q9NYF8	20	True	True	0	0	1926	True	
21	BUD13|HUMAN|Q9BRD0	21	BUD13|HUMAN|Q9BRD0	21	True	True	0	1936	1922	True	
