seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	model_name
336362904	logistic_l2	calibration	50	55382	198	1	0.02	0.005050505050505051	0.1787584413708425	5.594141414141414	0.16402632991152752	logistic_l2
336362904	logistic_l2	calibration	100	55382	198	3	0.03	0.015151515151515152	0.357516882741685	8.39121212121212	0.005642919245790956	logistic_l2
336362904	logistic_l2	calibration	200	55382	198	6	0.03	0.030303030303030304	0.71503376548337	8.39121212121212	8.975945120187941e-05	logistic_l2
336362904	logistic_l2	calibration	500	55382	198	14	0.028	0.0707070707070707	1.7875844137084251	7.8317979797979795	4.487097238475894e-09	logistic_l2
336362904	logistic_l2	calibration	1000	55382	198	24	0.024	0.12121212121212122	3.5751688274168503	6.712969696969697	2.8076545168817306e-13	logistic_l2
336362904	logistic_l2	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	logistic_l2
336362904	logistic_l2	heldout	100	55382	85	4	0.04	0.047058823529411764	0.1534794698638547	26.062117647058823	1.810712769027053e-05	logistic_l2
336362904	logistic_l2	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	logistic_l2
336362904	logistic_l2	heldout	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	logistic_l2
336362904	logistic_l2	heldout	1000	55382	85	13	0.013	0.15294117647058825	1.5347946986385468	8.470188235294119	4.474962031553135e-09	logistic_l2
336362904	logistic_elasticnet	calibration	50	55382	198	0	0.0	0.0	0.1787584413708425	0.0	1.0	logistic_elasticnet
336362904	logistic_elasticnet	calibration	100	55382	198	3	0.03	0.015151515151515152	0.357516882741685	8.39121212121212	0.005642919245790956	logistic_elasticnet
336362904	logistic_elasticnet	calibration	200	55382	198	7	0.035	0.03535353535353535	0.71503376548337	9.789747474747475	8.56673938739102e-06	logistic_elasticnet
336362904	logistic_elasticnet	calibration	500	55382	198	13	0.026	0.06565656565656566	1.7875844137084251	7.272383838383838	3.850323107076825e-08	logistic_elasticnet
336362904	logistic_elasticnet	calibration	1000	55382	198	23	0.023	0.11616161616161616	3.5751688274168503	6.433262626262626	2.1511495807784535e-12	logistic_elasticnet
336362904	logistic_elasticnet	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	logistic_elasticnet
336362904	logistic_elasticnet	heldout	100	55382	85	4	0.04	0.047058823529411764	0.1534794698638547	26.062117647058823	1.810712769027053e-05	logistic_elasticnet
336362904	logistic_elasticnet	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	logistic_elasticnet
336362904	logistic_elasticnet	heldout	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	logistic_elasticnet
336362904	logistic_elasticnet	heldout	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10	logistic_elasticnet
1989451307	logistic_l2	calibration	50	55382	198	2	0.04	0.010101010101010102	0.1787584413708425	11.188282828282828	0.01391951330001258	logistic_l2
1989451307	logistic_l2	calibration	100	55382	198	2	0.02	0.010101010101010102	0.357516882741685	5.594141414141414	0.05010366622281267	logistic_l2
1989451307	logistic_l2	calibration	200	55382	198	6	0.03	0.030303030303030304	0.71503376548337	8.39121212121212	8.975945120187941e-05	logistic_l2
1989451307	logistic_l2	calibration	500	55382	198	14	0.028	0.0707070707070707	1.7875844137084251	7.8317979797979795	4.487097238475894e-09	logistic_l2
1989451307	logistic_l2	calibration	1000	55382	198	24	0.024	0.12121212121212122	3.5751688274168503	6.712969696969697	2.8076545168817306e-13	logistic_l2
1989451307	logistic_l2	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	logistic_l2
