rbp_id	species	gene_id	transcript_id	chromosome	start	end	strand	site_center	source_file	evidence_type	raw_score	notes
AtGRP7	Arabidopsis thaliana	AT1G02560	AT1G02560.1	1	539934	539935	+	539935	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G02780	AT1G02780.1	1	607958	607959	-	607959	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G02780	AT1G02780.1	1	607960	607961	-	607961	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	2.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G02780	AT1G02780.1	1	607964	607965	-	607965	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	4.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G02780	AT1G02780.1	1	607965	607966	-	607966	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G02780	AT1G02780.1	1	607967	607968	-	607968	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	6.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G02780	AT1G02780.1	1	607973	607974	-	607974	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	6.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G02780	AT1G02780.1	1	607982	607983	-	607983	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	3.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G02780	AT1G02780.1	1	609413	609414	-	609414	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	5.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
AtGRP7	Arabidopsis thaliana	AT1G02930	AT1G02930.1	1	661223	661224	-	661224	08_embeddings/plant_rbp_extended_query_fasta/target_experimental_data/AtGRP7/GSE99427_iCLIP/GSE99427_significant_crosslinks.tar.gz.extracted/7GFPLL24.prom.bed	iCLIP reproducible binding site BED (0-based BED)	6.0	coordinate_system=0-based BED; sample=7GFPLL24.prom.bed
