module_name	total_parameters	trainable_parameters	trainable_fraction
binding_model.classifier	148353	0	0.0
binding_model.protein_embedding	337920	0	0.0
binding_model.protein_projector	394752	0	0.0
binding_model.rna_cnn	473024	0	0.0
binding_model.rna_projector	131840	0	0.0
motif_aware_classifier	181121	181121	1.0
motif_binding_projector	10752	10752	1.0
motif_conflict_classifier	2721	0	0.0
motif_group_classifier	5506	0	0.0
motif_group_latent_prototypes	128	0	0.0
motif_model.conv_3	491776	0	0.0
motif_model.conv_5	819456	0	0.0
motif_model.decoder	800232	0	0.0
motif_model.direction_gate	91456	0	0.0
motif_model.direction_scale	64	0	0.0
motif_model.esm2	148138841	0	0.0
motif_model.esm_to_256	164096	0	0.0
motif_model.interaction_gate	65792	0	0.0
motif_model.king_embedding	64	0	0.0
motif_model.motif_subtype_head	186929	0	0.0
motif_model.residue_attn	82177	0	0.0
motif_model.seed_condition_embedding	256	0	0.0
motif_model.seed_group_head	186800	0	0.0
motif_model.shrinkage	1021377	0	0.0
motif_model.subtype_condition_embedding	288	0	0.0
motif_rescue_latent_head	19008	0	0.0
