embedding_row	protein_id	rbp_name	species_abbrev	protein_acc	protein_length	embedding_dim	model	esm_layer	max_aa_len_per_chunk	n_chunks	fasta_header
0	HNRNPA1|DANRE|Q803K3	HNRNPA1	DANRE	Q803K3	422	1280	esm2_t33_650M_UR50D	33	1022	1	>HNRNPA1|DANRE|requested=Q803K3|resolved=Q803K3 tr|Q803K3|Q803K3_DANRE Heterogeneous nuclear ribonucleoprotein A1 OS=Danio rerio OX=7955 GN=hnrnpa1b PE=2 SV=1
1	AUB|DROME|O76922	AUB	DROME	O76922	866	1280	esm2_t33_650M_UR50D	33	1022	1	>AUB|DROME|requested=AUB|resolved=O76922 sp|O76922|AUB_DROME Protein aubergine OS=Drosophila melanogaster OX=7227 GN=aub PE=1 SV=1
2	IMP|DROME|Q0KHU2	IMP	DROME	Q0KHU2	631	1280	esm2_t33_650M_UR50D	33	1022	1	>IMP|DROME|requested=IMP|resolved=Q0KHU2 tr|Q0KHU2|Q0KHU2_DROME IGF-II mRNA-binding protein, isoform K OS=Drosophila melanogaster OX=7227 GN=Imp PE=1 SV=2
3	ORB2B|DROME|A0A4D6K616	ORB2B	DROME	A0A4D6K616	769	1280	esm2_t33_650M_UR50D	33	1022	1	>ORB2B|DROME|requested=ORB2B|resolved=A0A4D6K616 tr|A0A4D6K616|A0A4D6K616_DROME Orb2, isoform J OS=Drosophila melanogaster OX=7227 GN=orb2 PE=4 SV=1
4	PEP|DROME|P41073	PEP	DROME	P41073	716	1280	esm2_t33_650M_UR50D	33	1022	1	>PEP|DROME|requested=PEP|resolved=P41073 sp|P41073|PEP_DROME Zinc finger protein on ecdysone puffs OS=Drosophila melanogaster OX=7227 GN=Pep PE=1 SV=1
5	AARS|HUMAN|P49588	AARS	HUMAN	P49588	968	1280	esm2_t33_650M_UR50D	33	1022	1	>AARS|HUMAN|requested=P49588|resolved=P49588 sp|P49588|SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=AARS1 PE=1 SV=2
6	AATF|HUMAN|Q9NY61	AATF	HUMAN	Q9NY61	560	1280	esm2_t33_650M_UR50D	33	1022	1	>AATF|HUMAN|requested=Q9NY61|resolved=Q9NY61 sp|Q9NY61|AATF_HUMAN Protein AATF OS=Homo sapiens OX=9606 GN=AATF PE=1 SV=1
7	ABCF1|HUMAN|Q8NE71	ABCF1	HUMAN	Q8NE71	845	1280	esm2_t33_650M_UR50D	33	1022	1	>ABCF1|HUMAN|requested=Q8NE71|resolved=Q8NE71 sp|Q8NE71|ABCF1_HUMAN ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2
8	ACI|HUMAN|Q9UKV3	ACI	HUMAN	Q9UKV3	1341	1280	esm2_t33_650M_UR50D	33	1022	2	>ACI|HUMAN|requested=ACI|resolved=Q9UKV3 sp|Q9UKV3|ACINU_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens OX=9606 GN=ACIN1 PE=1 SV=2
9	AGGF1|HUMAN|Q8N302	AGGF1	HUMAN	Q8N302	714	1280	esm2_t33_650M_UR50D	33	1022	1	>AGGF1|HUMAN|requested=Q8N302|resolved=Q8N302 sp|Q8N302|AGGF1_HUMAN Angiogenic factor with G patch and FHA domains 1 OS=Homo sapiens OX=9606 GN=AGGF1 PE=1 SV=2
10	AGO2|HUMAN|Q9UKV8	AGO2	HUMAN	Q9UKV8	859	1280	esm2_t33_650M_UR50D	33	1022	1	>AGO2|HUMAN|requested=Q9UKV8|resolved=Q9UKV8 sp|Q9UKV8|AGO2_HUMAN Protein argonaute-2 OS=Homo sapiens OX=9606 GN=AGO2 PE=1 SV=3
11	AKAP1|HUMAN|Q92667	AKAP1	HUMAN	Q92667	903	1280	esm2_t33_650M_UR50D	33	1022	1	>AKAP1|HUMAN|requested=Q92667|resolved=Q92667 sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1
12	AKAP8L|HUMAN|Q9ULX6	AKAP8L	HUMAN	Q9ULX6	646	1280	esm2_t33_650M_UR50D	33	1022	1	>AKAP8L|HUMAN|requested=Q9ULX6|resolved=Q9ULX6 sp|Q9ULX6|AKP8L_HUMAN A-kinase anchor protein 8-like OS=Homo sapiens OX=9606 GN=AKAP8L PE=1 SV=4
