source	protein_id	embedding_row	species_abbrev
music_clip_train	HNRNPA1|DANRE|Q803K3	0	DANRE
music_clip_train	AUB|DROME|O76922	1	DROME
music_clip_train	IMP|DROME|Q0KHU2	2	DROME
music_clip_train	ORB2B|DROME|A0A4D6K616	3	DROME
music_clip_train	PEP|DROME|P41073	4	DROME
music_clip_train	AARS|HUMAN|P49588	5	HUMAN
music_clip_train	AATF|HUMAN|Q9NY61	6	HUMAN
music_clip_train	ABCF1|HUMAN|Q8NE71	7	HUMAN
music_clip_train	ACI|HUMAN|Q9UKV3	8	HUMAN
music_clip_train	AGGF1|HUMAN|Q8N302	9	HUMAN
music_clip_train	AGO2|HUMAN|Q9UKV8	10	HUMAN
music_clip_train	AKAP1|HUMAN|Q92667	11	HUMAN
music_clip_train	AKAP8L|HUMAN|Q9ULX6	12	HUMAN
music_clip_train	ALKBH1|HUMAN|Q13686	13	HUMAN
music_clip_train	ALKBH5|HUMAN|Q6P6C2	14	HUMAN
music_clip_train	ALYREF|HUMAN|Q86V81	15	HUMAN
music_clip_train	APOBEC3C|HUMAN|Q9NRW3	16	HUMAN
music_clip_train	AQR|HUMAN|O60306	17	HUMAN
music_clip_train	ATXN2|HUMAN|Q99700	18	HUMAN
music_clip_train	BCCIP|HUMAN|Q9P287	19	HUMAN
music_clip_train	BCLAF1|HUMAN|Q9NYF8	20	HUMAN
music_clip_train	BUD13|HUMAN|Q9BRD0	21	HUMAN
music_clip_train	CAPRIN1|HUMAN|Q14444	22	HUMAN
music_clip_train	CDC40|HUMAN|O60508	23	HUMAN
music_clip_train	CELF2|HUMAN|O95319	24	HUMAN
music_clip_train	CHTOP|HUMAN|Q9Y3Y2	25	HUMAN
music_clip_train	CNBP|HUMAN|P62633	26	HUMAN
music_clip_train	CPEB4|HUMAN|Q17RY0	27	HUMAN
music_clip_train	CPSF1|HUMAN|Q10570	28	HUMAN
music_clip_train	CPSF2|HUMAN|Q9P2I0	29	HUMAN
music_clip_train	CPSF3|HUMAN|Q9UKF6	30	HUMAN
music_clip_train	CPSF4|HUMAN|O95639	31	HUMAN
music_clip_train	CPSF6|HUMAN|Q16630	32	HUMAN
music_clip_train	CPSF7|HUMAN|Q8N684	33	HUMAN
music_clip_train	CSTF2|HUMAN|P33240	34	HUMAN
music_clip_train	CSTF2T|HUMAN|Q9H0L4	35	HUMAN
music_clip_train	DDX21|HUMAN|Q9NR30	36	HUMAN
music_clip_train	DDX24|HUMAN|Q9GZR7	37	HUMAN
music_clip_train	DDX3|HUMAN|O00571	38	HUMAN
music_clip_train	DDX3X|HUMAN|O00571	39	HUMAN
music_clip_train	DDX42|HUMAN|Q86XP3	40	HUMAN
music_clip_train	DDX51|HUMAN|Q8N8A6	41	HUMAN
music_clip_train	DDX52|HUMAN|Q9Y2R4	42	HUMAN
music_clip_train	DDX55|HUMAN|Q8NHQ9	43	HUMAN
music_clip_train	DDX59|HUMAN|Q5T1V6	44	HUMAN
music_clip_train	DDX6|HUMAN|P26196	45	HUMAN
music_clip_train	DGCR8|HUMAN|Q8WYQ5	46	HUMAN
music_clip_train	DHX30|HUMAN|Q7L2E3	47	HUMAN
music_clip_train	DICER1|HUMAN|Q9UPY3	48	HUMAN
music_clip_train	DIS3L2|HUMAN|Q8IYB7	49	HUMAN
music_clip_train	DKC1|HUMAN|O60832	50	HUMAN
music_clip_train	DROSHA|HUMAN|Q9NRR4	51	HUMAN
music_clip_train	EFTUD2|HUMAN|Q15029	52	HUMAN
music_clip_train	EIF3A|HUMAN|Q14152	53	HUMAN
music_clip_train	EIF3B|HUMAN|P55884	54	HUMAN
music_clip_train	EIF3D|HUMAN|O15371	55	HUMAN
music_clip_train	EIF3G|HUMAN|O75821	56	HUMAN
music_clip_train	EIF3H|HUMAN|O15372	57	HUMAN
music_clip_train	EIF4A3|HUMAN|P38919	58	HUMAN
music_clip_train	EIF4G2|HUMAN|P78344	59	HUMAN
music_clip_train	ELAVL1|HUMAN|Q15717	60	HUMAN
music_clip_train	EWSR1|HUMAN|Q01844	61	HUMAN
music_clip_train	EXOSC5|HUMAN|Q9NQT4	62	HUMAN
music_clip_train	FAM120A|HUMAN|Q9NZB2	63	HUMAN
music_clip_train	FASTKD2|HUMAN|Q9NYY8	64	HUMAN
music_clip_train	FBL|HUMAN|P22087	65	HUMAN
music_clip_train	FIP1L1|HUMAN|Q6UN15	66	HUMAN
music_clip_train	FKBP4|HUMAN|Q02790	67	HUMAN
music_clip_train	FMR1|HUMAN|Q06787	68	HUMAN
music_clip_train	FTO|HUMAN|Q9C0B1	69	HUMAN
music_clip_train	FUBP3|HUMAN|Q96I24	70	HUMAN
music_clip_train	FUS|HUMAN|P35637	71	HUMAN
music_clip_train	FXR1|HUMAN|P51114	72	HUMAN
music_clip_train	FXR2|HUMAN|P51116	73	HUMAN
music_clip_train	G3BP1|HUMAN|Q13283	74	HUMAN
music_clip_train	GEMIN5|HUMAN|Q8TEQ6	75	HUMAN
music_clip_train	GNL3|HUMAN|Q9BVP2	76	HUMAN
music_clip_train	GPKOW|HUMAN|Q92917	77	HUMAN
music_clip_train	GRSF1|HUMAN|Q12849	78	HUMAN
music_clip_train	GRWD1|HUMAN|Q9BQ67	79	HUMAN
music_clip_train	GTF2F1|HUMAN|P35269	80	HUMAN
music_clip_train	HLTF|HUMAN|Q14527	81	HUMAN
music_clip_train	HNRNPA1|HUMAN|P09651	82	HUMAN
music_clip_train	HNRNPA2B1|HUMAN|P22626	83	HUMAN
music_clip_train	HNRNPC|HUMAN|P07910	84	HUMAN
music_clip_train	HNRNPD|HUMAN|Q14103	85	HUMAN
music_clip_train	HNRNPF|HUMAN|P52597	86	HUMAN
music_clip_train	HNRNPH|HUMAN|P31943	87	HUMAN
music_clip_train	HNRNPH1|HUMAN|P31943	88	HUMAN
music_clip_train	HNRNPK|HUMAN|P61978	89	HUMAN
music_clip_train	HNRNPL|HUMAN|P14866	90	HUMAN
music_clip_train	HNRNPM|HUMAN|P52272	91	HUMAN
music_clip_train	HNRNPU|HUMAN|Q00839	92	HUMAN
music_clip_train	HNRNPUL1|HUMAN|Q9BUJ2	93	HUMAN
music_clip_train	IGF2BP1|HUMAN|Q9NZI8	94	HUMAN
music_clip_train	IGF2BP2|HUMAN|Q9Y6M1	95	HUMAN
music_clip_train	IGF2BP3|HUMAN|O00425	96	HUMAN
music_clip_train	ILF3|HUMAN|Q12906	97	HUMAN
music_clip_train	IMP3|HUMAN|O00425	98	HUMAN
music_clip_train	KHDRBS1|HUMAN|Q07666	99	HUMAN
music_clip_train	KHSRP|HUMAN|Q92945	100	HUMAN
music_clip_train	LARP4|HUMAN|Q71RC2	101	HUMAN
music_clip_train	LARP7|HUMAN|Q4G0J3	102	HUMAN
music_clip_train	LIN28A|HUMAN|Q9H9Z2	103	HUMAN
music_clip_train	LIN28B|HUMAN|Q6ZN17	104	HUMAN
music_clip_train	LSM11|HUMAN|P83369	105	HUMAN
music_clip_train	MATR3|HUMAN|P43243	106	HUMAN
music_clip_train	MBNL2|HUMAN|Q5VZF2	107	HUMAN
music_clip_train	METAP2|HUMAN|P50579	108	HUMAN
music_clip_train	METTL14|HUMAN|Q9HCE5	109	HUMAN
music_clip_train	METTL3|HUMAN|Q86U44	110	HUMAN
music_clip_train	MKRN1|HUMAN|Q9UHC7	111	HUMAN
music_clip_train	MOV10|HUMAN|Q9HCE1	112	HUMAN
music_clip_train	MTPAP|HUMAN|Q9NVV4	113	HUMAN
music_clip_train	NCBP2|HUMAN|P52298	114	HUMAN
music_clip_train	NCBP3|HUMAN|Q53F19	115	HUMAN
music_clip_train	NIP7|HUMAN|Q9Y221	116	HUMAN
music_clip_train	NIPBL|HUMAN|Q6KC79	117	HUMAN
music_clip_train	NKRF|HUMAN|O15226	118	HUMAN
music_clip_train	NOL12|HUMAN|Q9UGY1	119	HUMAN
music_clip_train	NOLC1|HUMAN|Q14978	120	HUMAN
music_clip_train	NONO|HUMAN|Q15233	121	HUMAN
music_clip_train	NOP56|HUMAN|O00567	122	HUMAN
music_clip_train	NOP58|HUMAN|Q9Y2X3	123	HUMAN
music_clip_train	NPM1|HUMAN|A0A0S2Z491	124	HUMAN
music_clip_train	NSUN2|HUMAN|Q08J23	125	HUMAN
music_clip_train	NUDT21|HUMAN|O43809	126	HUMAN
music_clip_train	NXF1|HUMAN|Q9UBU9	127	HUMAN
music_clip_train	PABPC4|HUMAN|Q13310	128	HUMAN
music_clip_train	PABPN1|HUMAN|Q86U42	129	HUMAN
music_clip_train	PCBP1|HUMAN|Q15365	130	HUMAN
music_clip_train	PCBP2|HUMAN|Q15366	131	HUMAN
music_clip_train	PHF6|HUMAN|Q8IWS0	132	HUMAN
music_clip_train	POLR2G|HUMAN|P62487	133	HUMAN
music_clip_train	PPIG|HUMAN|Q13427	134	HUMAN
music_clip_train	PPIL4|HUMAN|Q8WUA2	135	HUMAN
music_clip_train	PRPF4|HUMAN|O43172	136	HUMAN
music_clip_train	PRPF8|HUMAN|Q6P2Q9	137	HUMAN
music_clip_train	PTBP1|HUMAN|P26599	138	HUMAN
